"artist","attack","cardClass","classes__001","classes__002","classes__003","collectible","collectionText","cost","dbfId","entourage__-","faction","entourage","durability","elite","flavor","howToEarn","health","hideStats","howToEarnGolden","id","mechanics__001","multiClassGroup","mechanics__002","mechanics__003","mechanics__004","name","playRequirements__REQ_FRIENDLY_MINION_DIED_THIS_GAME","playRequirements__REQ_MINION_OR_ENEMY_HERO","playRequirements__REQ_STEADY_SHOT","playRequirements__REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY","playRequirements__REQ_ENEMY_WEAPON_EQUIPPED","playRequirements__REQ_DAMAGED_TARGET","playRequirements__REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_SECRETS","playRequirements__REQ_WEAPON_EQUIPPED","playRequirements__REQ_MINIMUM_TOTAL_MINIONS","playRequirements__REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS","playRequirements__REQ_LEGENDARY_TARGET","playRequirements__REQ_MINION_SLOT_OR_MANA_CRYSTAL_SLOT","playRequirements__REQ_FROZEN_TARGET","playRequirements__REQ_TARGET_FOR_COMBO","overload","playRequirements__REQ_MINIMUM_ENEMY_MINIONS","playRequirements__REQ_SECRET_ZONE_CAP_FOR_NON_SECRET","playRequirements__REQ_HERO_TARGET","playRequirements__REQ_FRIENDLY_TARGET","playRequirements__REQ_ENEMY_TARGET","playRequirements__REQ_MINION_TARGET","playRequirements__REQ_MUST_TARGET_TAUNTER","playRequirements__REQ_STEALTHED_TARGET","playRequirements__REQ_TARGET_WITH_DEATHRATTLE","playRequirements__REQ_NONSELF_TARGET","playRequirements__REQ_TARGET_IF_AVAILABE_AND_ELEMENTAL_PLAYED_LAST_TURN","playRequirements__REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND","playRequirements__REQ_TARGET_IF_AVAILABLE","playRequirements__REQ_TARGET_WITH_RACE","playRequirements__REQ_NUM_MINION_SLOTS","playRequirements__REQ_TARGET_MAX_ATTACK","playRequirements__REQ_TARGET_MIN_ATTACK","playRequirements__REQ_TARGET_TO_PLAY","playRequirements__REQ_UNDAMAGED_TARGET","playerClass","race","rarity","referencedTags__001","referencedTags__002","referencedTags__003","set","spellDamage","targetingArrowText","text","type"
"Jakub Kasper","4","NEUTRAL","","","","True","","4","2518","","","","","","The crowd ALWAYS yells lethal.","","4","","","AT_121","","","","","","Crowd Favorite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","EPIC","BATTLECRY","","","TGT","","","Whenever you play a card with <b>Battlecry</b>, gain +1/+1.","MINION"
"","4","NEUTRAL","","","","","","6","1769","","","","","True","","","7","","","CRED_09","","","","","","Ben Thompson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","LEGENDARY","","","","CREDITS","","","<b>Battlecry:</b> Draw some cards. With a pen.","MINION"
"","","NEUTRAL","","","","","","","10081","","","","","","","","","","","TB_007e","","","","","","Deviate Switch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","TB","","","Attack and Health have been swapped by Deviate Banana.","ENCHANTMENT"
"Mauricio Herrera","3","WARRIOR","","","","True","","3","40569","","","","","","""I don't know a lot about used GvG cards, so I'm going to have to call in an expert.""","","3","","","CFM_755","BATTLECRY","","","","","Grimestreet Pawnbroker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WARRIOR","","RARE","","","","GANGS","","","<b>Battlecry:</b> Give a random weapon in your hand +1/+1.","MINION"
"Ittoku","2","NEUTRAL","","","","True","","4","1370","","","","","","His dreams of flying and breathing fire like his idol will never be realized.","","7","","Unlocked at Druid Level 51.","CS2_119","","","","","","Oasis Snapjaw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","BEAST","FREE","","","","CORE","","","","MINION"
"","","NEUTRAL","","","","","","2","19292","","","","","","","","","","","LOEA15_2","","","","","","Unstable Portal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","LOE","","","<b>Hero Power</b>\nAdd a random minion to your hand. It costs (3) less.","HERO_POWER"
"","","NEUTRAL","","","","","","","2751","","","","","","","","","","","AT_117e","","","","","","Ceremony","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","TGT","","","+2/+2.","ENCHANTMENT"
"","4","NEUTRAL","","","","","","3","2543","","","","","","","","2","","","AT_005t","CHARGE","","","","","Boar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","BEAST","","","","","TGT","","","<b>Charge</b>","MINION"
"","","DRUID","","","","","","0","690","","","","","","","","","","","EX1_155b","","","","","","Mark of Nature","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","DRUID","","","","","","EXPERT1","","","+4 Health and <b>Taunt</b>.","SPELL"
"Raymond Swanland","","PRIEST","","","","True","","3","1363","","","","","","If you miss, it leaves a lightning-bolt-shaped scar on your target.","Unlocked at Level 8.","","","Unlocked at Level 43.","EX1_622","","","","","","Shadow Word: Death","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","5","0","","PRIEST","","FREE","","","","CORE","","","Destroy a minion with 5 or more Attack.","SPELL"
"Esad Ribic","2","NEUTRAL","","","","True","","3","2579","","","","","","He used to be a librarian.  Old habits die hard.","","2","","","AT_095","DIVINE_SHIELD","","STEALTH","","","Silent Knight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","COMMON","","","","TGT","","","<b>Stealth</b>\n<b>Divine Shield</b>","MINION"
"","1","NEUTRAL","","","","","","0","1916","","","","","","","","1","","","XXX_099","","","","","","AI Helper Buddy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","CHEAT","","","Get the AI ready for testing.","MINION"
"","4","NEUTRAL","","","","","","4","2823","","","","","True","","","7","","","BRMC_85","BATTLECRY","","","","","Lucifron","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","LEGENDARY","","","","TB","","","<b>Battlecry:</b> Cast Corruption on all other minions.","MINION"
"Jon Neimeister","5","WARLOCK","","","","True","","3","40598","","","","","","Get the ingredients wrong on ONE healing potion and they take your license. What a world!","","5","","","CFM_900","","","","","","Unlicensed Apothecary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WARLOCK","DEMON","EPIC","","","","GANGS","","","Whenever you summon a minion, deal 5 damage to your hero.","MINION"
"","","MAGE","","","","","","2","2831","","","","","","","","","","","CS2_034_H1","","","","","","Fireblast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","MAGE","","FREE","","","","HERO_SKINS","","Deal 1 damage.","<b>Hero Power</b>\nDeal $1 damage.","HERO_POWER"
"Max Greke","","SHAMAN","","","","True","","4","41521","","","","","","Also good for removing pesky stains.","","","","","UNG_817","","","","","","Tidal Surge","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","SHAMAN","","COMMON","","","","UNGORO","","","Deal $4 damage to a minion. Restore #4 Health to your hero.","SPELL"
"","","ROGUE","","","","","","","1756","","","","","","","","","","","EX1_128e","","","","","","Concealed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ROGUE","","","","","","HOF","","","Stealthed until your next turn.","ENCHANTMENT"
"Seamus Gallagher","9","NEUTRAL","","","","True","","9","2520","","","","","","You have no idea how tired this guy is of being released.","","7","","","AT_103","BATTLECRY","","","","","North Sea Kraken","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","NEUTRAL","","COMMON","","","","TGT","","Deal 4 damage.","<b>Battlecry:</b> Deal 4 damage.","MINION"
"","","NEUTRAL","","","","","","","2449","","","","","","","","30","","","BRMA06_3H","","","","","","Ragnaros the Firelord","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","BRM","","","","HERO"
"","","WARLOCK","","","","","","","35022","","","","","","","","","","","LOE_009e","","","","","","Sinister Power","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WARLOCK","","","","","","LOE","","","+4/+4.","ENCHANTMENT"
"","","NEUTRAL","","","","","","0","25085","","","","","","","","","","","LOEA04_28a","","","","","","Drink Deeply","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","LOE","","","Draw a card.","SPELL"
"","","HUNTER","","","","True","","","31","","","","","","","","30","","","HERO_05","","","","","","Rexxar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HUNTER","","FREE","","","","CORE","","","","HERO"
"Sojin Hwang","2","ROGUE","","","","True","","2","41208","","","","","","The reason why there are no zombies in Un'goro.","","2","","","UNG_058","BATTLECRY","","","","","Razorpetal Lasher","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ROGUE","","COMMON","","","","UNGORO","","","[x]<b>Battlecry:</b> Add a\nRazorpetal to your hand\nthat deals 1 damage.","MINION"
"","4","NEUTRAL","","","","","","6","1642","","","","2","","","","","","","TU4e_007","","","","","","Dual Warglaives","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","COMMON","","","","MISSIONS","","","","WEAPON"
"Jim Nelson","1","NEUTRAL","","","","True","","3","41418","","","","","","If you won't come to the tar pits, we'll bring them to you!","","5","","","UNG_928","TAUNT","","","","","Tar Creeper","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","ELEMENTAL","COMMON","","","","UNGORO","","","<b>Taunt</b>\nHas +2 Attack during your opponent's turn.","MINION"
"","","NEUTRAL","","","","","","3","2323","","","","","","","","","","","BRMA_01","","","","","","Flameheart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","BRM","","","Draw 2 cards.\nGain 4 Armor.","SPELL"
"Mark Gibbons","","PRIEST","","","","True","","4","220","","","","","","You can rationalize it all you want, it's still a mean thing to do.","","","","","EX1_334","","","","","","Shadow Madness","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","1","3","","0","","PRIEST","","RARE","","","","EXPERT1","","","Gain control of an enemy minion with 3 or less Attack until end of turn.","SPELL"
"","2","NEUTRAL","","","","","","3","1763","","","","","True","","","4","","","CRED_03","","","","","","Bob Fitch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","LEGENDARY","","","","CREDITS","","","<b>Super Taunt</b> <i>(EVERY character must attack this minion.)</i>","MINION"
"Dan Scott","2","NEUTRAL","","","","True","","4","736","","","","","True","He's a legend among murlocs.  ""Mrghllghghllghg!"", they say.","Unlocked when you have all the Murlocs from the Classic Set.","4","","Unlocked when you have all the Golden Murlocs from the Expert and Basic Sets.","EX1_062","CHARGE","","","","","Old Murk-Eye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","MURLOC","LEGENDARY","","","","HOF","","","<b>Charge</b>. Has +1 Attack for each other Murloc on the battlefield.","MINION"
"Jim Nelson","5","NEUTRAL","","","","True","","7","38533","","","","","","They say that ""grotesque is in the eye of the beholder,"" but that's just because they've never seen a Grotesque Dragonhawk. Yikes!","","5","","","OG_152","WINDFURY","","","","","Grotesque Dragonhawk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","BEAST","COMMON","","","","OG","","","<b>Windfury</b>","MINION"
"","","NEUTRAL","","","","","","2","2530","","","BRMA09_3H","","","","","","","","BRMA09_2H","","","","","","Open the Gates","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","BRM","","","<b>Hero Power</b>\nSummon three 2/2 Whelps. Get a new Hero Power.","HERO_POWER"
"","","","","","","","","","","","","BRMA09_4H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3","NEUTRAL","","","","","","3","41125","","","","","","","","2","","","TB_KaraPortals_003","","","","","","Party Elemental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","","","","","TB","","","","MINION"
"Alex Horley Orlandelli","","PALADIN","","","","True","","1","40371","","","","","","One of the most famous busts in Gadgetzan’s history happened on Smuggler’s Run, where Sergeant Sally apprehended a cadre of Grimy Goons transporting a massive number of illegal fish heads.","","","","","CFM_305","","","","","","Smuggler's Run","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PALADIN","","COMMON","","","","GANGS","","","Give all minions in your hand +1/+1.","SPELL"
"Jim Nelson","","PALADIN","","","","True","","1","2648","","","","","","Competition can be an inspiration to improve oneself.  Or kill all the competitors.","","","","","AT_073","SECRET","","","","","Competitive Spirit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PALADIN","","RARE","","","","TGT","","","<b>Secret:</b> When your turn starts, give your minions +1/+1.","SPELL"
"Matt Cavotta","5","NEUTRAL","","","","True","","5","1140","","HORDE","","","","You can hire him... until someone offers him enough gold to turn on you.","","4","","Unlocked at Shaman Level 55.","CS2_187","TAUNT","","","","","Booty Bay Bodyguard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEUTRAL","","FREE","","","","CORE","","","<b>Taunt</b>","MINION"
"Jaime Jones","","PALADIN","","","","True","","5","2274","","","","","","Each year, folk gather in front of Blackrock Mountain to mourn those who were mind-controlled into the lava.","Unlocked in Hidden Laboratory, in the Blackrock Mountain adventure.","","","Crafting unlocked in Hidden Laboratory, in the Blackrock Mountain adventure.","BRM_001","","","","","","Solemn Vigil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PALADIN","","COMMON","","","","BRM","","","Draw 2 cards. Costs (1) less for each minion that died this turn.","SPELL"
"","","NEUTRAL","","","","","","0","39875","","","","","","","","","","","XXX_102","ImmuneToSpellpower","","","","","Add 1 to Health.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","NEUTRAL","","COMMON","","","","CHEAT","","","Adds 1 health to a damaged character. Does NOT heal.","SPELL"
"Arthur Gimaldinov","2","MAGE","","","","True","","4","38412","","","","","","He prefers that you refer to him by his nickname: 'Frostwaker.'","","4","","","OG_085","","","","","","Demented Frostcaller","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MAGE","","RARE","FREEZE","","","OG","","","After you cast a spell, <b>Freeze</b> a random enemy.","MINION"
"Bernie Kang","5","NEUTRAL","","","","True","","4","186","","ALLIANCE","","","","Most pandaren say his brew tastes like yak.  But apparently that's a compliment.","","4","","","EX1_057","BATTLECRY","","","","","Ancient Brewmaster","","","","","","","","","","","","","","","","","","","0","","0","","","","0","","","0","","","","","","","NEUTRAL","","COMMON","","","","EXPERT1","","Return a minion to your hand.","<b>Battlecry:</b> Return a friendly minion from the battlefield to your hand.","MINION"
"Stanley Lau","2","DRUID","","","","True","","3","2292","","","","","","Druids who fought too long in Northrend were easily seduced by Ragnaros; a mug of hot chocolate was generally all it took.","Unlocked in Molten Core, in the Blackrock Mountain adventure.","2","","Crafting unlocked in Molten Core, in the Blackrock Mountain adventure.","BRM_010","CHOOSE_ONE","","","","","Druid of the Flame","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DRUID","","COMMON","","","","BRM","","","<b>Choose One -</b> Transform into a 5/2 minion; or a 2/5 minion.","MINION"
